Player,Mat,Inns,Runs,Avg,BF,SR,100,50,4s,6s
Jos Buttler,17,17,863,57.53,579,149.05,4,4,83,45
Ruturaj Gaikwad,16,16,635,45.35,466,136.26,1,4,64,23
Faf du Plessis,16,16,633,45.21,458,138.2,0,6,60,23
KL Rahul,13,13,626,62.6,451,138.8,0,6,48,30
Shikhar Dhawan,16,16,587,39.13,471,124.62,0,3,63,16
Glenn Maxwell,15,14,513,42.75,356,144.1,0,6,48,21
Quinton De Kock,15,15,508,36.29,341,148.97,1,3,47,23
Hardik Pandya,15,15,487,44.27,371,131.26,0,4,49,12
Sanju Samson,14,14,484,40.33,354,136.72,1,2,45,17
Shubman Gill,16,16,483,34.5,365,132.32,0,4,51,11
David Miller,16,16,481,68.71,337,142.72,0,2,32,23
Prithvi Shaw,15,15,479,31.93,301,159.13,0,4,56,18
Shubman Gill,17,17,478,28.11,402,118.9,0,3,50,12
Faf Du Plessis,16,16,468,31.2,367,127.52,0,3,49,13
Shikhar Dhawan,14,14,460,38.33,375,122.66,0,3,47,12
Sanju Samson,17,17,458,28.63,312,146.79,0,2,43,26
Deepak Hooda,15,14,451,32.21,330,136.66,0,4,36,18
Mayank Agarwal,12,12,441,40.09,314,140.44,0,4,42,18
Liam Livingstone,14,14,437,36.42,240,182.08,0,4,29,34
David Warner,12,12,432,48,287,150.52,0,5,52,15
Abhishek Sharma,14,14,426,30.43,320,133.12,0,2,47,13
Rishabh Pant,16,16,419,34.91,326,128.52,0,3,42,10
Ishan Kishan,14,14,418,32.15,348,120.11,0,3,45,11
Rahul Tripathi,14,14,413,37.55,261,158.23,0,3,40,20
Devdutt Padikkal,14,14,411,31.61,328,125.3,1,1,44,14
Virat Kohli,15,15,405,28.92,339,119.46,0,3,43,9
Shreyas Iyer,14,14,401,30.85,298,134.56,0,3,41,11
Rahul Tripathi,17,16,397,28.35,283,140.28,0,2,41,11
Tilak Varma,14,14,397,36.09,303,131.02,0,2,29,16
Nitish Rana,17,16,383,29.46,314,121.97,0,2,34,17
Aiden Markram,14,12,381,47.63,274,139.05,0,3,25,19
Rohit Sharma,13,13,381,29.3,299,127.42,0,1,33,14
Devdutt Padikkal,17,17,376,22.12,306,122.87,0,1,40,14
Venkatesh Iyer,10,10,370,41.11,288,128.47,0,4,37,14
Ruturaj Gaikwad,14,14,368,26.29,291,126.46,0,3,33,14
Nitish Rana,14,14,361,27.77,251,143.82,0,2,29,22
Moeen Ali,15,15,357,25.5,260,137.3,0,1,31,19
Virat Kohli,16,16,341,22.73,294,115.98,0,2,32,8
Rishabh Pant,14,13,340,30.91,224,151.78,0,0,35,16
Andre Russell,14,12,335,37.22,192,174.47,0,1,18,32
Rajat Patidar,8,7,333,55.5,218,152.75,1,2,27,18
Dinesh Karthik,16,16,330,55,180,183.33,0,1,27,22
Suryakumar Yadav,14,14,317,22.64,221,143.43,0,2,40,10
Wriddhiman Saha,11,11,317,31.7,259,122.39,0,3,40,7
Shimron Hetmyer,15,15,314,44.86,204,153.92,0,1,21,21
AB de Villiers,15,14,313,31.3,211,148.34,0,2,23,16
Nicholas Pooran,14,13,306,38.25,212,144.33,0,2,16,21
Suryakumar Yadav,8,8,303,43.29,208,145.67,0,3,23,16
Glenn Maxwell,13,13,301,27.36,178,169.1,0,1,31,15
Quinton de Kock,11,11,297,29.7,256,116.01,0,2,29,7
Manish Pandey,8,8,292,48.66,236,123.72,0,3,21,10
Shivam Dube,11,11,289,28.9,185,156.21,0,2,22,16
Prithvi Shaw,10,10,283,28.3,185,152.97,0,2,37,10
Ambati Rayudu,13,11,274,24.91,224,122.32,0,1,25,15
Rohit Sharma,14,14,268,19.14,223,120.17,0,0,28,13
Kane Williamson,10,10,266,44.33,235,113.19,0,2,29,2
Yashasvi Jaiswal,10,10,258,25.8,194,132.98,0,2,28,10
Ambati Rayudu,16,13,257,28.55,170,151.17,0,2,16,17
Jos Buttler,7,7,254,36.28,166,153.01,1,0,27,13
Jonny Bairstow,11,11,253,23,175,144.57,0,2,34,9
Devon Conway,7,7,252,42,173,145.66,0,3,22,12
Mitchell Marsh,8,8,251,31.38,189,132.8,0,2,19,14
Rovman Powell,14,12,250,25,167,149.7,0,1,10,22
Yashasvi Jaiswal,10,10,249,24.9,168,148.21,0,1,32,10
Jonny Bairstow,7,7,248,41.33,175,141.71,0,2,20,15
